term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
AccidentalIncident,class,https://w3id.org/dpv/risk#AccidentalIncident,Accidental Incident,Incident caused due to accidental actions arising from human or human-controlled situations,,https://w3id.org/dpv/risk#Incident,https://w3id.org/dpv/risk#Incident,,2024-05-19,,risk,https://w3id.org/dpv/risk
AvailabilityIncident,class,https://w3id.org/dpv/risk#AvailabilityIncident,Availability Incident,Incident where the availability of information or system has been affected,,https://w3id.org/dpv/risk#Incident,https://w3id.org/dpv/risk#Incident,,2024-05-19,,risk,https://w3id.org/dpv/risk
ConfidentialityIncident,class,https://w3id.org/dpv/risk#ConfidentialityIncident,Confidentiality Incident,Incident where the confidentiality of information or system has been affected,,https://w3id.org/dpv/risk#Incident,https://w3id.org/dpv/risk#Incident,,2024-05-19,,risk,https://w3id.org/dpv/risk
CrossBorderIncident,class,https://w3id.org/dpv/risk#CrossBorderIncident,Cross-Border Incident,Incident involving cross-border or multiple jurisdictions,,https://w3id.org/dpv/risk#Incident,https://w3id.org/dpv/risk#Incident,,2024-05-19,,risk,https://w3id.org/dpv/risk
DeliberateIncident,class,https://w3id.org/dpv/risk#DeliberateIncident,Deliberate Incident,Incident caused due to deliberate actions of a human,,https://w3id.org/dpv/risk#Incident,https://w3id.org/dpv/risk#Incident,,2024-05-19,,risk,https://w3id.org/dpv/risk
EnvironmentalIncident,class,https://w3id.org/dpv/risk#EnvironmentalIncident,Environmental Incident,Incident caused due to environmental factors outside human controls,,https://w3id.org/dpv/risk#Incident,https://w3id.org/dpv/risk#Incident,,2024-05-19,,risk,https://w3id.org/dpv/risk
Incident,class,https://w3id.org/dpv/risk#Incident,Incident,,,,,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentAssessmentReport,class,https://w3id.org/dpv/risk#IncidentAssessmentReport,Incident Assessment Report,A report describing the assessment of an incident in terms of its effects or impacts,,https://w3id.org/dpv/risk#IncidentReport,https://w3id.org/dpv/risk#IncidentReport,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentConcludingReport,class,https://w3id.org/dpv/risk#IncidentConcludingReport,Incident Concluding Report,A report describing the conclusion of an investigation regarding a Incident where all relevant facts are known,,https://w3id.org/dpv/risk#IncidentReport,https://w3id.org/dpv/risk#IncidentReport,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentDetectionReport,class,https://w3id.org/dpv/risk#IncidentDetectionReport,Incident Detection Report,A report describing the detection of a Incident,,https://w3id.org/dpv/risk#IncidentReport,https://w3id.org/dpv/risk#IncidentReport,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentHandlingReport,class,https://w3id.org/dpv/risk#IncidentHandlingReport,Incident Handling Report,A report describing the response to or handling of an incident regarding the mitigation of its effects and the prevention of its recurrence,,https://w3id.org/dpv/risk#IncidentReport,https://w3id.org/dpv/risk#IncidentReport,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentIdentifier,class,https://w3id.org/dpv/risk#IncidentIdentifier,Incident Identifier,Identifier associated with an incident,,,,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentImpactAssessment,class,https://w3id.org/dpv/risk#IncidentImpactAssessment,Incident Impact Assessment,An impact assessment associated with a incident,,https://w3id.org/dpv#ImpactAssessment,https://w3id.org/dpv#ImpactAssessment,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentMitigationMeasure,class,https://w3id.org/dpv/risk#IncidentMitigationMeasure,Incident Mitigation Measure,A mitigation measure taken in response specifically to mitigate an incident and prevent it from occurring again,,https://w3id.org/dpv#RiskMitigationMeasure,https://w3id.org/dpv#RiskMitigationMeasure,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentNotice,class,https://w3id.org/dpv/risk#IncidentNotice,Incident Notice,Notice associated with an Incident,,https://w3id.org/dpv#Notice,https://w3id.org/dpv#Notice,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentOngoingReport,class,https://w3id.org/dpv/risk#IncidentOngoingReport,Incident Ongoing Report,A report describing on ongoing investigation regarding a Incident where facts and extent of the investigation are being investigated,,https://w3id.org/dpv/risk#IncidentReport,https://w3id.org/dpv/risk#IncidentReport,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentPreliminaryReport,class,https://w3id.org/dpv/risk#IncidentPreliminaryReport,Incident Preliminary Report,A report describing the preliminary investigation regarding a Incident where the complete facts or extent of the incident may not be known,,https://w3id.org/dpv/risk#IncidentReport,https://w3id.org/dpv/risk#IncidentReport,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentRegister,class,https://w3id.org/dpv/risk#IncidentRegister,Incident Register,"A register recording incidentes, their reports, notifications, and other related activities",,https://w3id.org/dpv#RecordsOfActivities,https://w3id.org/dpv#RecordsOfActivities,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentReport,class,https://w3id.org/dpv/risk#IncidentReport,Incident Report,"Documented information about an incident, its handling, assessments,and notifications",,https://w3id.org/dpv#RecordsOfActivities,https://w3id.org/dpv#RecordsOfActivities,,2024-05-19,,risk,https://w3id.org/dpv/risk
IncidentSuspectedReport,class,https://w3id.org/dpv/risk#IncidentSuspectedReport,Incident Suspected Report,A report describing the suspicion of an incident in the past or occuring,,https://w3id.org/dpv/risk#IncidentReport,https://w3id.org/dpv/risk#IncidentReport,,2024-05-19,,risk,https://w3id.org/dpv/risk
IntegrityIncident,class,https://w3id.org/dpv/risk#IntegrityIncident,Integrity Incident,Incident where the integrity of information or system has been affected,,https://w3id.org/dpv/risk#Incident,https://w3id.org/dpv/risk#Incident,,2024-05-19,,risk,https://w3id.org/dpv/risk
