"term","type","iri","label","definition","dpvtype","subclassof","hasbroader","scopenote","created","modified","vocab","namespace"
"AI","class","https://w3id.org/dpv/ai#AI","Artificial Intelligence (AI)","A technical and scientific field devoted to the engineered system that generates outputs such as content, forecasts, recommendations or decisions for a given set of human-defined objectives","","https://w3id.org/dpv#Technology","https://w3id.org/dpv#Technology","","2024-04-28","","ai","https://w3id.org/dpv/ai"
"AIAgent","class","https://w3id.org/dpv/ai#AIAgent","AI Agent","An AI Agent, also known as an 'intelligent agent', is a software agent that utilises AI technologies","","https://w3id.org/dpv/ai#AI;https://w3id.org/dpv/tech#SoftwareAgent","https://w3id.org/dpv/ai#AI;https://w3id.org/dpv/tech#SoftwareAgent","Other definitions of AI Agents may include the perception of environment as some capacity to incorporate the environment through sensors (e.g. computer vision) or data (e.g. web environments), and to produce changes in outputs through some degree of autonomy (i.e. without human intervention). The definition of 'AI Agent' provided in this extension relaxes such requirements and instead focuses on classifying these agents based solely on their use of AI technologies to allow compatibility with the evolving definitions","2025-10-28","","ai","https://w3id.org/dpv/ai"
"AIProcess","class","https://w3id.org/dpv/ai#AIProcess","AI Process","A process involving AI technologies","","https://w3id.org/dpv#Process","https://w3id.org/dpv#Process","This concept provides a convenient method to indicate AI is involved (somewhere) within the Process","","","ai","https://w3id.org/dpv/ai"
"AISystem","class","https://w3id.org/dpv/ai#AISystem","AI System","An engineered system that generates outputs such as content, forecasts, recommendations or decisions for a given set of human-defined objectives (ISO/IEC 22989:2022 definition); or A machine-based system that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments. Different AI systems vary in their levels of autonomy and adaptiveness after deployment (OECD 2024 definition); or A machine-based system demonstrating varying degrees of autonomy and adaptiveness after deployment, generating outputs such as predictions, content, recommendations, or decisions to influence physical or virtual environments (EU Vocabularies' AI Taxonomy definition)","","https://w3id.org/dpv/ai#AI;https://w3id.org/dpv/tech#System","https://w3id.org/dpv/ai#AI;https://w3id.org/dpv/tech#System","","2024-05-17","","ai","https://w3id.org/dpv/ai"
"Capability","class","https://w3id.org/dpv/ai#Capability","Capability","Capability or use of AI to achieve a technical goal or objective","","https://w3id.org/dpv/ai#AI","https://w3id.org/dpv/ai#AI","This concept refers to the application of an AI technique to achieve a technical goal or function, and is necessary to distinguish the 'algorithm' (ai:Technique) from the 'application' (ai:Capability) and 'goal' (dpv:Purpose)","2024-04-28","","ai","https://w3id.org/dpv/ai"
"GenAI","class","https://w3id.org/dpv/ai#GenAI","Generative AI","Use of artificial intelligence models that can learn from and mimic large amounts of data to create content such as text, images, music, videos, code, and more, based on inputs or prompts","","https://w3id.org/dpv/ai#AI","https://w3id.org/dpv/ai#AI","","2025-12-17","","ai","https://w3id.org/dpv/ai"
"Model","class","https://w3id.org/dpv/ai#Model","Model","Physical, mathematical or otherwise logical representation of a system, entity, phenomenon, process or data involving the use of AI techniques","","https://w3id.org/dpv/ai#AI;https://w3id.org/dpv/tech#Model","https://w3id.org/dpv/ai#AI;https://w3id.org/dpv/tech#Model","","2024-05-17","2025-12-17","ai","https://w3id.org/dpv/ai"
"Technique","class","https://w3id.org/dpv/ai#Technique","Technique","The underlying technological algorithm, method, or process that forms the technique for using or applying AI","","https://w3id.org/dpv/ai#AI","https://w3id.org/dpv/ai#AI","This concept refers to the foundational computational implementation and is necessary to distinguish the 'algorithm' (ai:Technique) from the 'application' (ai:Capability) and 'goal' (dpv:Purpose)","2024-04-28","","ai","https://w3id.org/dpv/ai"
"hasAI","property","https://w3id.org/dpv/ai#hasAI","has AI","Indicates the use of AI for the associated context","","","https://w3id.org/dpv#isImplementedUsingTechnology","","2024-12-01","","ai","https://w3id.org/dpv/ai"
"hasAISystem","property","https://w3id.org/dpv/ai#hasAISystem","has AI system","Indicates the use of AI system for the associated context","","","https://w3id.org/dpv/ai#hasAI","","2024-12-01","","ai","https://w3id.org/dpv/ai"
"hasCapability","property","https://w3id.org/dpv/ai#hasCapability","has capability","Indicates the use of AI capability for the associated context","","","https://w3id.org/dpv/ai#hasAI","","2024-12-01","","ai","https://w3id.org/dpv/ai"
"hasGPAIModel","property","https://w3id.org/dpv/ai#hasGPAIModel","has GPAI model","Indicates the use of an GPAI model for the associated context","","","https://w3id.org/dpv/ai#hasModel","","2024-12-01","","ai","https://w3id.org/dpv/ai"
"hasModel","property","https://w3id.org/dpv/ai#hasModel","has model","Indicates the use of an AI model for the associated context","","","https://w3id.org/dpv/ai#hasAI","","2024-12-01","","ai","https://w3id.org/dpv/ai"
"hasTechnique","property","https://w3id.org/dpv/ai#hasTechnique","has technique","Indicates the use of AI technique for the associated context","","","https://w3id.org/dpv/ai#hasAI","","2024-12-01","","ai","https://w3id.org/dpv/ai"
